Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,412,20,Fri Feb 20 2026 16:41:17 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,3604,5,Fri Feb 20 2026 16:41:17 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4902,2000,Fri Feb 20 2026 16:41:17 GMT+0530 (India Standard Time)
