Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,925,20,Fri Feb 20 2026 17:56:10 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,4115,5,Fri Feb 20 2026 17:56:10 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4916,2000,Fri Feb 20 2026 17:56:10 GMT+0530 (India Standard Time)
