Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,589,20,Fri Feb 20 2026 18:03:10 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,4182,5,Fri Feb 20 2026 18:03:10 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4441,2000,Fri Feb 20 2026 18:03:10 GMT+0530 (India Standard Time)
