Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
IJRC-Journals,https://www.ijrc.in/,4569,2,Wed Feb 18 2026 16:50:40 GMT+0530 (India Standard Time)
JSAFOG-Journals,https://www.jsafog.com/,10614,10000,Wed Feb 18 2026 16:50:40 GMT+0530 (India Standard Time)
