Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,437,20,Fri Feb 20 2026 17:28:37 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,3613,5,Fri Feb 20 2026 17:28:37 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4713,2000,Fri Feb 20 2026 17:28:37 GMT+0530 (India Standard Time)
