Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,389,20,Fri Feb 20 2026 16:56:17 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,2998,5,Fri Feb 20 2026 16:56:17 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4436,2000,Fri Feb 20 2026 16:56:17 GMT+0530 (India Standard Time)
