Domain,URL,ResponseTime(ms),Threshold(ms),CheckedAt
y-combinator,https://www.ycombinator.com/,451,20,Fri Feb 20 2026 17:51:10 GMT+0530 (India Standard Time)
IJRC-Journals,https://www.ijrc.in/,3419,5,Fri Feb 20 2026 17:51:10 GMT+0530 (India Standard Time)
IJPP-Journal,https://www.ijiapp.com/,4417,2000,Fri Feb 20 2026 17:51:10 GMT+0530 (India Standard Time)
